epoch,model,train_loss,valid_loss,train_ppl,valid_ppl,bleu_score
1,Seq2SeqModel,3.084984,3.099666,21.867107,22.190543,
2,Seq2SeqModel,2.919656,3.042213,18.534903,20.951556,
3,Seq2SeqModel,2.864983,3.029009,17.548759,20.676733,
4,Seq2SeqModel,2.865053,2.988617,17.549983,19.858197,
5,Seq2SeqModel,2.794185,2.987651,16.349293,19.839016,
6,Seq2SeqModel,2.789594,2.962510,16.274413,19.346475,
7,Seq2SeqModel,2.729061,2.936531,15.318498,18.850339,
8,Seq2SeqModel,2.684203,2.945519,14.646531,19.020534,
9,Seq2SeqModel,2.645166,2.938388,14.085784,18.885386,
10,Seq2SeqModel,2.635166,2.953213,13.945627,19.1674398821714,0.189526428981874
1,GateAttentionModel,3.0443298057112400,3.0570193468082300,20.99595511734350,21.264081756778500,
2,GateAttentionModel,2.85608133249515,2.999534232049220,17.393234912646800,20.07618390215240,
3,GateAttentionModel,2.7788853550169400,2.9808802553242300,16.101063971881800,19.705154579971700,
4,GateAttentionModel,2.732006851262810,2.9617443247187500,15.363688740483900,19.331663060403000,
5,GateAttentionModel,2.6798662770162800,2.9499274973427100,14.583143064085800,19.104568546031600,
6,GateAttentionModel,2.6308709347013700,2.9510242440527500,13.885858313120700,19.12553291293000,
7,GateAttentionModel,2.6884147961822800,2.9316601351864900,14.708341711157200,18.758746716439200,
8,GateAttentionModel,2.527551683677490,2.8923211229329100,12.522808776447200,19.392200608847400,
9,GateAttentionModel,2.4456054211946500,2.91231932001424,11.537532551552400,19.887742463538400,
10,GateAttentionModel,2.3786920048715000,2.91123943922325,10.79077934238360,20.756098716149600,0.191461799089084